Supplier_Name,Product_Name,Product_Url,Price,Lat,Lng
Luxor,7 Seater Sofa,https://res.cloudinary.com/dsq8qsg1a/image/upload/v1677771379/show_app_images/A934F179-6D21-4582-B5FE-7BD5F56121E0_udkehg.jpg,"1,000,000.00",-1.96714,30.06312
Ranisfurniture,Tufted Living Room Sofa,https://ranisfurniture.com/shop/tufted-living-room-sofa/,"1,023,000.00",-1.97155,30.10057
Catchyz,New Sofa 7Seater For Sale,https://rw.catchyz.com/en/ad/65295/new-sofa-7seater-for-sale-216/,"265,000.00",-1.9464,30.06014
Rootsrwanda,Hisense 8Kg Front Load Automatic Washing Machine Wfqp8014Evmt,https://rootsrwanda.rw/product-detail/MjYyMA==/Hisense-8kg-Front-Load-Automatic-Washing-Machine-WFQP8014EVMT,"520,000.00",-1.93629,30.05926
Homepoint,"Lg F4J3Tyg6J Front Load Washing Machine, 8Kg - 6 Motion Direct Drive, Steam Technology",https://www.homepoint.rw/shop/10203109-lg-f4j3tyg6j-front-load-washing-machine-8kg-6-motion-direct-drive-steam-technology-1087,"899,000.00",-1.97213,30.09916
Olado,Von Wm Fl Washing Machine 8Kg,https://www.olado.rw/prodView/REF/00f82dc2bb1b67a1c0dbb522faf04028e62530b6_ID120669/IMGSCN/ho240802sk143623655n/TabDex/Product-Descriptions_skyworth/nap=HO240802SK143623655N,"800,000.00",-1.94998,30.05885
Bigbox,Nobel Front Load Washing Machine White 6 Kgs 6Month Warranty,https://bigbox.rw/product/nobel-front-load-washing-machine-white-6-kgs-6month-warranty/,"550,200.00",-1.93629,30.05926
Blueflame,Hisense Wfeh1014Vjt 10Kg Washing Machine Front Loading,https://blueflame.rw/product/hisense-wfeh1014vjt-10kg-washing-machine-front-loading/,"850,000.00",-1.9431,30.06249
Auto24.,Toyota Corolla Cross 2024,https://auto24.rw/buy/TOYOTA/COROLLA-CROSS/2024/46000000/RNL807,"46,000,000.00",-1.93937,30.05179
Rwandacarmarket,Toyota Rav4 2017,https://www.rwandacarmarket.com/vehicles/92,"28,500,000.00",-1.95586,30.06333
Kigalilife,Rav4 Xle 2015: Reliable And Stylish For Sale At 22M,https://kigalilife.co.rw/ads/discover-the-rav4-xle-2015-reliable-and-stylish-for-sale-at-22m/,"22,000,000.00",-1.93629,30.05926
Zimcompass.,Toyota Corolla Xli,https://rw.zimcompass.com/product?id=144990#google_vignette,"10,500.00",-1.93629,30.05926
Carros,Toyota Rav4,https://www.carros.com/car/c1eb766d9bd54af38d52c9ada09e2c49-p57472/,"3,600,000.00",-1.93629,30.05926
